ScenarioID,Query
Scenario 2,"Track all the grey van that appear in camera 7 from 35 second to 128 second, and also appear at camera 8, 6, 9"
Scenario 2,"Track all the maroon jeep that appear in camera 7 from 49 second to 121 second, and also appear at camera 9"
Scenario 2,"Track all the silver van that appear in camera 9 from 28 second to 200 second, and also appear at camera 7"
Scenario 2,"Track all the yellow hatchback that appear in camera 6 from 46 second to 165 second, and also appear at camera 9, 7"
Scenario 2,"Track all the yellow hatchback that appear in camera 7 from 39 second to 171 second, and also appear at camera 8, 6, 9"
Scenario 2,"Track all the brown wagon that appear in camera 6 from 37 second to 138 second, and also appear at camera 9, 8"
Scenario 2,"Track all the grey truck that appear in camera 7 from 19 second to 134 second, and also appear at camera 6, 8"
Scenario 2,"Track all the blue minivan that appear in camera 6 from 36 second to 231 second, and also appear at camera 9, 7, 8"
Scenario 2,"Track all the green jeep that appear in camera 8 from 53 second to 147 second, and also appear at camera 9"
Scenario 2,"Track all the green coupe that appear in camera 6 from 33 second to 149 second, and also appear at camera 9, 8"
Scenario 2,"Track all the gray hatchback that appear in camera 9 from 41 second to 167 second, and also appear at camera 6, 7, 8"
Scenario 2,"Track all the red sedan that appear in camera 9 from 40 second to 150 second, and also appear at camera 8, 6, 7"
Scenario 2,"Track all the white minivan that appear in camera 7 from 53 second to 124 second, and also appear at camera 9"
Scenario 2,"Track all the white wagon that appear in camera 8 from 60 second to 158 second, and also appear at camera 6, 9"
Scenario 2,"Track all the red SUV that appear in camera 8 from 43 second to 179 second, and also appear at camera 7, 6, 9"
Scenario 2,"Track all the red hatchback that appear in camera 6 from 51 second to 229 second, and also appear at camera 7"
Scenario 3,"Track all the brown pickup that appear in camera 13 from 40 second to 165 second, and also appear at camera 10, 12, 11"
Scenario 3,"Track all the gold sedan that appear in camera 12 from 15 second to 229 second, and also appear at camera 10, 13, 11"
Scenario 3,"Track all the gray wagon that appear in camera 11 from 24 second to 185 second, and also appear at camera 13, 15"
Scenario 3,"Track all the maroon minivan that appear in camera 15 from 40 second to 238 second, and also appear at camera 13, 14, 11"
Scenario 3,"Track all the green hatchback that appear in camera 10 from 22 second to 166 second, and also appear at camera 14, 11, 15"
Scenario 3,"Track all the brown truck that appear in camera 14 from 34 second to 129 second, and also appear at camera 13, 11, 10"
Scenario 3,"Track all the tan SUV that appear in camera 12 from 59 second to 204 second, and also appear at camera 10"
Scenario 3,"Track all the gray pickup that appear in camera 10 from 35 second to 227 second, and also appear at camera 15, 14, 11"
Scenario 3,"Track all the maroon wagon that appear in camera 12 from 48 second to 200 second, and also appear at camera 15"
Scenario 3,"Track all the gold hatchback that appear in camera 14 from 32 second to 239 second, and also appear at camera 12, 15"
Scenario 3,"Track all the maroon hatchback that appear in camera 12 from 47 second to 181 second, and also appear at camera 11, 10"
Scenario 3,"Track all the silver van that appear in camera 13 from 17 second to 122 second, and also appear at camera 14, 12, 15"
Scenario 3,"Track all the tan wagon that appear in camera 14 from 56 second to 211 second, and also appear at camera 15, 13, 11"
Scenario 3,"Track all the maroon pickup that appear in camera 11 from 43 second to 162 second, and also appear at camera 13, 14"
Scenario 3,"Track all the black van that appear in camera 11 from 50 second to 223 second, and also appear at camera 10, 14"
Scenario 3,"Track all the blue minivan that appear in camera 12 from 16 second to 197 second, and also appear at camera 13, 10"
Scenario 3,"Track all the brown SUV that appear in camera 10 from 55 second to 139 second, and also appear at camera 14"
Scenario 3,"Track all the brown sedan that appear in camera 12 from 15 second to 207 second, and also appear at camera 10, 13"
Scenario 3,"Track all the gray sedan that appear in camera 13 from 49 second to 178 second, and also appear at camera 14, 12"
Scenario 3,"Track all the purple hatchback that appear in camera 13 from 37 second to 238 second, and also appear at camera 12"
Scenario 4,"Track all the maroon jeep that appear in camera 38 from 50 second to 125 second, and also appear at camera 25, 39"
Scenario 4,"Track all the gold truck that appear in camera 24 from 49 second to 211 second, and also appear at camera 39"
Scenario 4,"Track all the white minivan that appear in camera 39 from 21 second to 120 second, and also appear at camera 40"
Scenario 4,"Track all the gray hatchback that appear in camera 32 from 39 second to 181 second, and also appear at camera 23"
Scenario 4,"Track all the brown wagon that appear in camera 25 from 46 second to 187 second, and also appear at camera 22, 31"
Scenario 4,"Track all the grey hatchback that appear in camera 26 from 40 second to 197 second, and also appear at camera 16, 39"
Scenario 4,"Track all the black sedan that appear in camera 26 from 56 second to 188 second, and also appear at camera 24, 39, 38"
Scenario 4,"Track all the blue pickup that appear in camera 38 from 31 second to 206 second, and also appear at camera 28, 34, 27"
Scenario 4,"Track all the gold van that appear in camera 17 from 49 second to 163 second, and also appear at camera 24, 37"
Scenario 4,"Track all the tan pickup that appear in camera 37 from 41 second to 140 second, and also appear at camera 22"
Scenario 4,"Track all the tan wagon that appear in camera 38 from 26 second to 187 second, and also appear at camera 22, 20, 29"
Scenario 4,"Track all the purple coupe that appear in camera 29 from 54 second to 192 second, and also appear at camera 32, 37"
Scenario 4,"Track all the tan hatchback that appear in camera 36 from 59 second to 210 second, and also appear at camera 28, 25, 22"
Scenario 4,"Track all the white sedan that appear in camera 38 from 23 second to 184 second, and also appear at camera 34, 29, 39"
Scenario 4,"Track all the black truck that appear in camera 38 from 15 second to 215 second, and also appear at camera 39, 27, 40"
Scenario 4,"Track all the grey van that appear in camera 35 from 40 second to 159 second, and also appear at camera 17"
Scenario 4,"Track all the silver wagon that appear in camera 27 from 27 second to 166 second, and also appear at camera 24, 39"
Scenario 4,"Track all the brown sedan that appear in camera 32 from 52 second to 139 second, and also appear at camera 36"
Scenario 4,"Track all the maroon hatchback that appear in camera 24 from 27 second to 182 second, and also appear at camera 30, 17, 26"
Scenario 4,"Track all the grey truck that appear in camera 30 from 55 second to 142 second, and also appear at camera 18"
Scenario 5,"Track all the gray jeep that appear in camera 26 from 53 second to 210 second, and also appear at camera 29, 34, 24"
Scenario 5,"Track all the black pickup that appear in camera 29 from 28 second to 191 second, and also appear at camera 34, 22, 21"
Scenario 5,"Track all the grey wagon that appear in camera 29 from 20 second to 136 second, and also appear at camera 22, 18"
Scenario 5,"Track all the purple pickup that appear in camera 36 from 17 second to 152 second, and also appear at camera 33, 24, 28"
Scenario 5,"Track all the purple jeep that appear in camera 36 from 53 second to 157 second, and also appear at camera 17"
Scenario 5,"Track all the red hatchback that appear in camera 10 from 48 second to 185 second, and also appear at camera 36, 22"
Scenario 5,"Track all the brown coupe that appear in camera 21 from 36 second to 144 second, and also appear at camera 17, 25"
Scenario 5,"Track all the gray SUV that appear in camera 10 from 56 second to 142 second, and also appear at camera 27"
Scenario 5,"Track all the maroon sedan that appear in camera 28 from 21 second to 183 second, and also appear at camera 24, 17"
Scenario 5,"Track all the blue van that appear in camera 19 from 24 second to 124 second, and also appear at camera 35, 22, 18"
Scenario 5,"Track all the blue pickup that appear in camera 25 from 42 second to 154 second, and also appear at camera 33, 24"
Scenario 5,"Track all the purple pickup that appear in camera 26 from 41 second to 233 second, and also appear at camera 10, 19"
Scenario 5,"Track all the gray jeep that appear in camera 34 from 23 second to 196 second, and also appear at camera 18, 27"
Scenario 5,"Track all the green SUV that appear in camera 26 from 38 second to 229 second, and also appear at camera 17, 29"
Scenario 5,"Track all the black hatchback that appear in camera 35 from 44 second to 179 second, and also appear at camera 17, 25, 16"
Scenario 5,"Track all the purple jeep that appear in camera 25 from 40 second to 229 second, and also appear at camera 24, 36, 23"
Scenario 5,"Track all the blue truck that appear in camera 10 from 20 second to 186 second, and also appear at camera 35, 19, 27"
Scenario 5,"Track all the gray wagon that appear in camera 29 from 58 second to 159 second, and also appear at camera 22, 20"
Scenario 5,"Track all the yellow wagon that appear in camera 34 from 17 second to 232 second, and also appear at camera 21, 35, 18"
Scenario 5,"Track all the blue van that appear in camera 23 from 24 second to 147 second, and also appear at camera 16"
