ScenarioID,Query,,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the white pickup that moving in vertical lane number 3 from right in camera 10 from 60 second to 161 second, and also appear at camera 12",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the brown hatchback that moving in vertical lane number 1 from right in camera 13 from 52 second to 146 second, and also appear at camera 10, 11",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the gray truck that moving in vertical lane number 3 from right in camera 11 from 41 second to 169 second, and also appear at camera 10, 14",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the yellow minivan that moving in horizontal lane number 3 from bottom in camera 11 from 36 second to 239 second, and also appear at camera 10",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the white jeep that moving in horizontal lane number 1 from top in camera 13 from 40 second to 178 second, and also appear at camera 10, 15",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the brown coupe that moving in vertical lane number 3 from left in camera 11 from 24 second to 191 second, and also appear at camera 12, 15, 10",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the purple van that moving in horizontal lane number 1 from top in camera 15 from 17 second to 234 second, and also appear at camera 14, 12",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the gold minivan that moving in horizontal lane number 3 from top in camera 12 from 34 second to 163 second, and also appear at camera 13, 14, 11",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 3,"Track all the yellow truck that moving in horizontal lane number 1 from bottom in camera 11 from 25 second to 217 second, and also appear at camera 13, 14",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the blue coupe that moving in vertical lane number 2 from right in camera 21 from 57 second to 162 second, and also appear at camera 30, 16, 18",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the green hatchback that moving in vertical lane number 2 from right in camera 20 from 54 second to 134 second, and also appear at camera 18, 19, 22",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the red truck that moving in horizontal lane number 3 from bottom in camera 28 from 60 second to 219 second, and also appear at camera 19, 34, 30",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the tan van that moving in vertical lane number 1 from right in camera 34 from 48 second to 145 second, and also appear at camera 39, 33",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the gray van that moving in vertical lane number 1 from left in camera 23 from 59 second to 199 second, and also appear at camera 40, 16, 25",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the grey truck that moving in vertical lane number 3 from right in camera 22 from 25 second to 199 second, and also appear at camera 28, 27",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the purple SUV that moving in horizontal lane number 2 from bottom in camera 34 from 42 second to 195 second, and also appear at camera 36, 24",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the maroon minivan that moving in horizontal lane number 1 from bottom in camera 19 from 19 second to 232 second, and also appear at camera 23",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the black coupe that moving in vertical lane number 1 from right in camera 40 from 17 second to 186 second, and also appear at camera 24",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the black pickup that moving in vertical lane number 2 from right in camera 27 from 24 second to 221 second, and also appear at camera 38, 32",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the gold jeep that moving in vertical lane number 2 from left in camera 40 from 42 second to 154 second, and also appear at camera 36, 32, 22",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the purple SUV that moving in vertical lane number 2 from right in camera 19 from 33 second to 182 second, and also appear at camera 35, 30, 22",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the grey truck that moving in horizontal lane number 2 from top in camera 38 from 58 second to 236 second, and also appear at camera 34",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the white wagon that moving in horizontal lane number 1 from top in camera 33 from 26 second to 141 second, and also appear at camera 16",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the blue van that moving in vertical lane number 3 from left in camera 26 from 52 second to 240 second, and also appear at camera 35",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the tan hatchback that moving in vertical lane number 3 from left in camera 21 from 35 second to 213 second, and also appear at camera 16, 32",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the black van that moving in vertical lane number 3 from right in camera 16 from 36 second to 218 second, and also appear at camera 31, 27, 22",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the white sedan that moving in vertical lane number 1 from right in camera 31 from 33 second to 149 second, and also appear at camera 30, 24",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the grey van that moving in vertical lane number 2 from right in camera 34 from 15 second to 127 second, and also appear at camera 37, 24",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 4,"Track all the blue jeep that moving in vertical lane number 3 from right in camera 28 from 43 second to 133 second, and also appear at camera 18, 20, 38",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the purple SUV that moving in vertical lane number 1 from left in camera 19 from 26 second to 234 second, and also appear at camera 18, 28",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the black jeep that moving in horizontal lane number 2 from bottom in camera 25 from 52 second to 213 second, and also appear at camera 23",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the gray wagon that moving in vertical lane number 1 from right in camera 10 from 50 second to 150 second, and also appear at camera 35, 27",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the gray minivan that moving in vertical lane number 1 from left in camera 28 from 39 second to 145 second, and also appear at camera 26, 36",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the green van that moving in vertical lane number 3 from right in camera 27 from 22 second to 227 second, and also appear at camera 18, 20",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the yellow truck that moving in vertical lane number 1 from left in camera 36 from 27 second to 227 second, and also appear at camera 19",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the purple jeep that moving in vertical lane number 1 from left in camera 18 from 48 second to 126 second, and also appear at camera 22, 28",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the yellow coupe that moving in vertical lane number 3 from right in camera 26 from 53 second to 189 second, and also appear at camera 25",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the silver jeep that moving in vertical lane number 1 from right in camera 10 from 27 second to 181 second, and also appear at camera 18",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the tan coupe that moving in vertical lane number 3 from left in camera 22 from 45 second to 178 second, and also appear at camera 16, 18, 19",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the purple pickup that moving in vertical lane number 2 from left in camera 23 from 59 second to 145 second, and also appear at camera 28, 35",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the tan truck that moving in vertical lane number 1 from left in camera 16 from 16 second to 169 second, and also appear at camera 33, 20",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the tan hatchback that moving in vertical lane number 1 from left in camera 35 from 52 second to 123 second, and also appear at camera 22, 21, 10",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the red wagon that moving in horizontal lane number 1 from bottom in camera 29 from 39 second to 193 second, and also appear at camera 26, 10, 36",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the silver wagon that moving in vertical lane number 3 from right in camera 34 from 31 second to 184 second, and also appear at camera 17, 26",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the purple sedan that moving in vertical lane number 1 from right in camera 10 from 22 second to 180 second, and also appear at camera 22, 17, 16",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the red pickup that moving in horizontal lane number 2 from bottom in camera 34 from 15 second to 217 second, and also appear at camera 36, 21",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the red pickup that moving in vertical lane number 2 from left in camera 17 from 20 second to 143 second, and also appear at camera 33",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the gold coupe that moving in horizontal lane number 2 from top in camera 25 from 55 second to 232 second, and also appear at camera 28, 17, 18",,,,,,,,,,,,,,,,,,,,,,,,
Scenario 5,"Track all the yellow sedan that moving in horizontal lane number 3 from top in camera 10 from 58 second to 158 second, and also appear at camera 33, 20, 35",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
